Sample Number,Name,Characteristics,Occurances,,,,,,,,
1,M_n_Ms,chocolate inside; 6 different colours,52,,M_n_Ms,,52,214,1,1,mnm
2,Kisses,chocolate inside; silver,1,,Kisses,,1,16,2,1,
3,Skittles,sugar inside ; 5 different colour,39,,Skittles,,39,197,3,1,
4,Spheres,sugar inside; 3 different colour,6,,Spheres,,6,19,4,2,jollyrancher
5,Jolly_Ranchers,sugar inside; 5 different colour; elongated,38,,Jolly_Ranchers,,38,131,5,2,
6,Wine_gummies,gummy; 2 different colours; matte,2,,Wine_gummies,,2,6,6,2,
7,Octupi_gummies,gummy; pink and yellow; sugar coated; 7 legs,0,,Octupi_gummies,,0,6,7,3,gummy bear
8,Swirl_gummies,gummy; 2 different colours; sugar coated,0,,Swirl_gummies,,0,3,8,3,
9,Cherry_gummies,gummy; cherry-shaped; sugar coated,1,,Cherry_gummies,,1,1,9,3,
10,Watermelon_gummies,gummy; watermelon-shaped; sugar coated,0,,Watermelon_gummies,,0,1,10,3,
11,Cola_gummies,gummy; soda-shaped; sugar coated,1,,Cola_gummies,,1,3,11,3,
12,Classic_bear_gummies,gummy; bear-shaped,23,,Classic_bear_gummies,,23,101,12,3,
13,Sugar-coated_bear_gummies,gummy; bear-shaped; sugar coated,1,,Sugar-coated_bear_gummies,,1,3,13,3,
14,String,gummy; red; string,1,,String,,1,14,14,3,
15,Lego,"sugar inside; 3 different colour; lego-shaped, hard",5,,Lego,,5,17,15,3,
,,,,,,,,,16,3,
,,,,,,,,,17,3,
,,,,,,,170,732,18,3,
,,,,,,,,,19,3,
,,,,,,,,,20,3,
,,,,,,,,,21,3,
,,,,,,,,,22,4,sphere
,,,,,,,,,23,4,
,,,,,,,,,24,4,
,,,,,,,,,25,4,
,,,,,,,,,26,4,
,,,,,,,,,27,4,
,,,,,,,,,28,4,
,,,,,,,,,29,5,skittles
,,,,,,,,,30,5,
,,,,,,,,,31,5,
,,,,,,,,,32,5,
,,,,,,,,,33,5,
,,,,,,,,,34,5,
,,,,,,,,,35,5,
,,,,,,,,,36,5,
,,,,,,,,,37,5,
,,,,,,,,,38,6,lego
,,,,,,,,,39,6,
,,,,,,,,,40,6,
,,,,,,,,,41,6,
,,,,,,,,,42,6,
,,,,,,,,,43,6,
,,,,,,,,,44,6,
,,,,,,,,,45,6,
,,,,,,,,,46,6,
,,,,,,,,,47,6,
,,,,,,,,,48,6,
,,,,,,,,,49,6,
,,,,,,,,,50,6,
,,,,,,,,,51,6,
,,,,,,,,,52,6,
,,,,,,,,,53,6,
,,,,,,,,,54,7,string
,,,,,,,,,55,8,cola
,,,,,,,,,56,8,
,,,,,,,,,57,8,
,,,,,,,,,58,8,
,,,,,,,,,59,8,
,,,,,,,,,60,8,
,,,,,,,,,61,8,
,,,,,,,,,62,9,cherry
,,,,,,,,,63,10,wine
,,,,,,,,,64,10,
,,,,,,,,,65,10,
,,,,,,,,,66,10,
,,,,,,,,,67,10,
,,,,,,,,,68,10,
,,,,,,,,,69,10,
,,,,,,,,,70,10,
,,,,,,,,,71,10,
,,,,,,,,,72,10,
,,,,,,,,,73,10,
,,,,,,,,,74,10,
,,,,,,,,,75,10,
,,,,,,,,,76,10,
,,,,,,,,,77,10,
,,,,,,,,,78,10,
,,,,,,,,,79,10,
,,,,,,,,,80,10,
,,,,,,,,,81,10,
,,,,,,,,,82,11,kisses
,,,,,,,,,83,11,
,,,,,,,,,84,11,
,,,,,,,,,85,12,suagar coated bear
,,,,,,,,,86,12,
,,,,,,,,,87,12,
,,,,,,,,,88,12,
,,,,,,,,,89,12,
,,,,,,,,,90,12,
,,,,,,,,,91,12,
,,,,,,,,,92,12,
,,,,,,,,,93,12,
,,,,,,,,,94,12,
,,,,,,,,,95,12,
,,,,,,,,,96,12,
,,,,,,,,,97,12,
,,,,,,,,,98,12,
,,,,,,,,,99,12,
,,,,,,,,,100,12,
,,,,,,,,,101,12,
,,,,,,,,,102,12,
,,,,,,,,,103,12,
,,,,,,,,,104,12,
,,,,,,,,,105,12,
,,,,,,,,,106,12,
,,,,,,,,,107,12,
,,,,,,,,,108,12,
,,,,,,,,,109,12,
,,,,,,,,,110,12,
,,,,,,,,,111,12,
,,,,,,,,,112,12,
,,,,,,,,,113,12,
,,,,,,,,,114,12,
,,,,,,,,,115,12,
,,,,,,,,,116,12,
,,,,,,,,,117,12,
,,,,,,,,,118,12,
,,,,,,,,,119,12,
,,,,,,,,,120,12,
,,,,,,,,,121,12,
,,,,,,,,,122,12,
,,,,,,,,,123,12,
,,,,,,,,,124,12,
,,,,,,,,,125,12,
,,,,,,,,,126,12,
,,,,,,,,,127,12,
,,,,,,,,,128,12,
,,,,,,,,,129,12,
,,,,,,,,,130,12,
,,,,,,,,,131,12,
,,,,,,,,,132,12,
,,,,,,,,,133,12,
,,,,,,,,,134,12,
,,,,,,,,,135,12,
,,,,,,,,,136,12,
,,,,,,,,,137,12,
,,,,,,,,,138,12,
,,,,,,,,,139,12,
,,,,,,,,,140,12,
,,,,,,,,,141,12,
,,,,,,,,,142,12,
,,,,,,,,,143,12,
,,,,,,,,,144,12,
,,,,,,,,,145,12,
,,,,,,,,,146,12,
,,,,,,,,,147,12,
,,,,,,,,,148,12,
,,,,,,,,,149,12,
,,,,,,,,,150,12,
,,,,,,,,,151,12,
,,,,,,,,,152,12,
,,,,,,,,,153,12,
,,,,,,,,,154,12,
,,,,,,,,,155,12,
,,,,,,,,,156,12,
,,,,,,,,,157,12,
,,,,,,,,,158,12,
,,,,,,,,,159,12,
,,,,,,,,,160,12,
,,,,,,,,,161,12,
,,,,,,,,,162,12,
,,,,,,,,,163,12,
,,,,,,,,,164,12,
,,,,,,,,,165,12,
,,,,,,,,,166,12,
,,,,,,,,,167,12,
,,,,,,,,,168,12,
,,,,,,,,,169,12,
,,,,,,,,,170,12,